model_registry_entry,model_id,display_name,provider,family,tier,context_window,frozen_at,used_in_runs,notes
gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,GPT-5.5 (Apr 2026),openai,gpt-5,frontier,128000,,matrix_gpt-5_5-2026-04-23_clines_epilepsy_modular;matrix_gpt-5_5-2026-04-23_clines_epilepsy_verified;matrix_gpt-5_5-2026-04-23_direct_evidence_contract;matrix_gpt-5_5-2026-04-23_direct_full_contract;matrix_gpt-5_5-2026-04-23_retrieval_field_extractors,Flagship OpenAI frontier model for work execution and agentic tasks.
gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,GPT-5.4 mini (Mar 2026),openai,gpt-5,small,128000,,matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_modular;matrix_gpt-5_4-mini-2026-03-17_clines_epilepsy_verified;matrix_gpt-5_4-mini-2026-03-17_direct_evidence_contract;matrix_gpt-5_4-mini-2026-03-17_direct_full_contract;matrix_gpt-5_4-mini-2026-03-17_retrieval_field_extractors,Small-tier frontier model; cost-efficient comparator for architecture-ladder ablation.
openai_gpt_4_1_2025_04_14,openai_gpt_4_1_2025_04_14,,,,,,,clines_epilepsy_modular_n25_gold_seeded_2026_05_03;clines_epilepsy_verified_n25_gold_seeded_2026_05_03;direct_evidence_contract_n25_gold_seeded_2026_05_03;direct_full_contract_n25_gold_seeded_2026_05_03;retrieval_field_extractors_n25_gold_seeded_2026_05_03,not found in supplied registry
